Sample in Buffer,Sample in Window,TRIGGER,sample_data[7:0],wr_en,wr_addr[10:0],wr_data[7:0],capturing,triggered,capture_done,trigger_index[10:0],trigger_enable_state,trigger_mode_sel[1:0],config_channel_idx[2:0],btn_trigger_pulse,btn_channel_pulse,btn_type_pulse,btn_mode_pulse,curr_trig_cfg_ext[7:0],p_0_in,sw_test_pattern_IBUF[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX
0,0,0,11111001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
1,1,0,11111010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
2,2,0,11111011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
3,3,0,11111100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
4,4,0,11111101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
5,5,0,11111110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
6,6,0,11111111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
7,7,0,00000000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
8,8,0,00000001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
9,9,0,00000010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
10,10,0,00000011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
11,11,0,00000100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
12,12,0,00000101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
13,13,0,00000110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
14,14,0,00000111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
15,15,0,00001000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
16,16,0,00001001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
17,17,0,00001010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
18,18,0,00001011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
19,19,0,00001100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
20,20,0,00001101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
21,21,0,00001110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
22,22,0,00001111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
23,23,0,00010000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
24,24,0,00010001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
25,25,0,00010010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
26,26,0,00010011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
27,27,0,00010100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
28,28,0,00010101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
29,29,0,00010110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
30,30,0,00010111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
31,31,0,00011000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
